feature,importance
earliest_cr_line_Dec_00,0.0
earliest_cr_line_Dec_01,0.0
earliest_cr_line_Dec_03,0.0
earliest_cr_line_Dec_06,0.0
earliest_cr_line_Dec_09,0.0
earliest_cr_line_Dec_10,0.0
earliest_cr_line_Dec_11,0.0
earliest_cr_line_Dec_58,0.0
earliest_cr_line_Dec_59,0.0
earliest_cr_line_Dec_61,0.0
earliest_cr_line_Dec_62,0.0
earliest_cr_line_Dec_63,0.0
earliest_cr_line_Dec_64,0.0
earliest_cr_line_Dec_65,0.0
earliest_cr_line_Dec_66,0.0
earliest_cr_line_Dec_67,0.0
earliest_cr_line_Dec_68,0.0
earliest_cr_line_Dec_69,0.0
earliest_cr_line_Dec_70,0.0
earliest_cr_line_Dec_71,0.0
earliest_cr_line_Dec_72,0.0
earliest_cr_line_Dec_73,0.0
earliest_cr_line_Dec_74,0.0
earliest_cr_line_Dec_75,0.0
earliest_cr_line_Dec_76,0.0
earliest_cr_line_Dec_77,0.0
earliest_cr_line_Dec_78,0.0
earliest_cr_line_Dec_79,0.0
earliest_cr_line_Dec_80,0.0
earliest_cr_line_Dec_81,0.0
earliest_cr_line_Dec_82,0.0
earliest_cr_line_Dec_83,0.0
earliest_cr_line_Dec_84,0.0
earliest_cr_line_Dec_86,0.0
earliest_cr_line_Dec_87,0.0
earliest_cr_line_Dec_88,0.0
earliest_cr_line_Dec_89,0.0
earliest_cr_line_Dec_90,0.0
earliest_cr_line_Dec_91,0.0
earliest_cr_line_Dec_93,0.0
earliest_cr_line_Dec_94,0.0
earliest_cr_line_Dec_95,0.0
earliest_cr_line_Dec_96,0.0
earliest_cr_line_Dec_98,0.0
earliest_cr_line_Feb_02,0.0
earliest_cr_line_Feb_03,0.0
earliest_cr_line_Feb_04,0.0
earliest_cr_line_Feb_05,0.0
earliest_cr_line_Feb_06,0.0
earliest_cr_line_Feb_07,0.0
earliest_cr_line_Feb_08,0.0
earliest_cr_line_Feb_10,0.0
earliest_cr_line_Feb_11,0.0
earliest_cr_line_Feb_12,0.0
earliest_cr_line_Feb_59,0.0
earliest_cr_line_Feb_61,0.0
earliest_cr_line_Feb_64,0.0
earliest_cr_line_Feb_65,0.0
earliest_cr_line_Feb_66,0.0
earliest_cr_line_Feb_67,0.0
earliest_cr_line_Feb_68,0.0
purpose_house,0.0
purpose_renewable_energy,0.0
purpose_wedding,0.0
earliest_cr_line_Feb_69,0.0
earliest_cr_line_Feb_70,0.0
earliest_cr_line_Feb_71,0.0
earliest_cr_line_Feb_72,0.0
earliest_cr_line_Feb_73,0.0
earliest_cr_line_Feb_74,0.0
earliest_cr_line_Feb_75,0.0
earliest_cr_line_Feb_76,0.0
earliest_cr_line_Feb_77,0.0
earliest_cr_line_Feb_78,0.0
earliest_cr_line_Feb_79,0.0
earliest_cr_line_Feb_80,0.0
earliest_cr_line_Feb_81,0.0
earliest_cr_line_Feb_82,0.0
earliest_cr_line_Feb_83,0.0
earliest_cr_line_Feb_86,0.0
earliest_cr_line_Feb_87,0.0
earliest_cr_line_Feb_89,0.0
earliest_cr_line_Feb_90,0.0
earliest_cr_line_Feb_91,0.0
earliest_cr_line_Feb_92,0.0
earliest_cr_line_Feb_93,0.0
earliest_cr_line_Feb_94,0.0
earliest_cr_line_Feb_95,0.0
earliest_cr_line_Feb_96,0.0
earliest_cr_line_Feb_97,0.0
earliest_cr_line_Feb_98,0.0
earliest_cr_line_Jan_00,0.0
earliest_cr_line_Jan_01,0.0
earliest_cr_line_Jan_03,0.0
earliest_cr_line_Jan_04,0.0
